   2.2932191167151106e+00	   4.7501147265138435e+01	
   3.5886453530298756e+00	   6.8971394855881641e+01	
   5.3895238303358797e+00	   3.0084132776818716e+01	
   4.2180022289722734e+00	   3.9888114333165809e+01	
   4.3366622232905794e+00	   3.4071370817945457e+01	
   7.4172330150127870e+00	   6.5381438342693585e+01	
   7.7732129979677076e+00	   6.7931207797032400e+01	
   8.2419527545289686e+00	   6.7936889491051332e+01	
   8.5651537335285539e+00	   8.8668079805948310e+01	
   9.2305675138218177e+00	   5.9585236336618536e+01	
   9.9510500207600394e+00	   9.9957605821551098e+01	
   1.0690216559952800e+01	   8.4966565415965519e+01	
   1.0969493673652238e+01	   8.0060859684010367e+01	
   1.1258932278577831e+01	   7.9518913485282198e+01	
   1.1421516138196285e+01	   2.9339066016913950e+01	
   1.1574266296628135e+01	   2.4613644806713118e+01	
   1.1602128449990166e+01	   2.9159437075238717e+01	
   1.5615917484320713e+01	   1.2844452699897271e+01	
   2.3948995869845504e+01	   3.5763641528812748e+01	
   2.5509932038198471e+01	   4.9964380149035186e+01	
   2.6179934879045472e+01	   1.8336137759227316e+01	
   2.6267782609645767e+01	   6.9609929852931572e+01	
   2.7459627193461685e+01	   2.8533467363038380e+01	
